Country Name,Country Code,Surface
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,28750
Andorra,AND,470
Arab World,ARB,11275506.5854605
United Arab Emirates,ARE,83600
Argentina,ARG,2780400
Armenia,ARM,29740
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7741220
Austria,AUT,83879.00390625
Azerbaijan,AZE,86600
Burundi,BDI,27830
Belgium,BEL,30530
Benin,BEN,114760
Burkina Faso,BFA,274220
Bangladesh,BGD,148388.448275862
Bulgaria,BGR,110992.586206897
Bahrain,BHR,712.965518030627
"Bahamas, The",BHS,13880
Bosnia and Herzegovina,BIH,51210
Belarus,BLR,207600
Belize,BLZ,22970
Bermuda,BMU,492.206897406743
Bolivia,BOL,1098580
Brazil,BRA,8515770
Barbados,BRB,430
Brunei Darussalam,BRN,5770
Bhutan,BTN,43580.6893184267
Botswana,BWA,581730
Central African Republic,CAF,622980
Canada,CAN,9984670
Central Europe and the Baltics,CEB,1134957.79298559
Switzerland,CHE,41290.0276131466
Channel Islands,CHI,197.999992370605
Chile,CHL,756127.256196121
China,CHN,9562935.95905172
Ivory Coast,CIV,322460
Cameroon,CMR,475440
Democratic Republic of the Congo,COD,2344860
Republic of the Congo,COG,342000
Colombia,COL,1141749.85991379
Comoros,COM,1861.00006103516
Cape Verde,CPV,4030
Costa Rica,CRI,51100
Caribbean small states,CSS,435019.482758621
Cuba,CUB,109888.448275862
Curacao,CUW,444
Cayman Islands,CYM,263.793099830891
Cyprus,CYP,9250
Czech Republic,CZE,78870
Germany,DEU,357054.930630388
Djibouti,DJI,23200
Dominica,DMA,750
Denmark,DNK,43069.4827586207
Dominican Republic,DOM,48670
Algeria,DZA,2381740
East Asia & Pacific (excluding high income),EAP,16270258.1822468
Early-demographic dividend,EAR,34129240.2957982
East Asia & Pacific,EAS,24823594.7891436
Europe & Central Asia (excluding high income),ECA,23485308.5973869
Europe & Central Asia,ECS,28423893.8128733
Ecuador,ECU,273715.344827586
Egypt,EGY,1001450
Euro area,EMU,2736186.30743198
Eritrea,ERI,117600
Spain,ESP,505849.810075431
Estonia,EST,45241.3793103448
Ethiopia,ETH,1104300
European Union,EUU,4363345.6177768
Fragile and conflict affected situations,FCS,13172402.2233907
Finland,FIN,338212.862338362
Fiji,FJI,18270
France,FRA,549091.507947198
Faroe Islands,FRO,1396.00006103516
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,267670
United Kingdom,GBR,243610
Georgia,GEO,69700
Ghana,GHA,238540
Gibraltar,GIB,10
Guinea,GIN,245860
Gambia,GMB,11300
Guinea-Bissau,GNB,36130
Equatorial Guinea,GNQ,28050
Greece,GRC,131960
Grenada,GRD,340
Greenland,GRL,367777.586206897
Guatemala,GTM,108890
Guam,GUM,540
Guyana,GUY,214970
High income,HIC,36779976.2647843
"Hong Kong SAR, China",HKG,1082.08620663347
Honduras,HND,112490
Heavily indebted poor countries (HIPC),HPC,17886903.7586817
Croatia,HRV,56555.3448275862
Haiti,HTI,27750
Hungary,HUN,93030
IBRD only,IBD,71364634.6228448
